Long,Lat,DIRECCION,TIPO
-3.675500407612197,40.438740199729374,"Avda. America (Intercambiador)",Parking mixto
-3.6934573322259374,40.45590412796814,"Avda. Brasil (entre Gral. Yagüe y Pedro Texeira)",Parking mixto
-3.696911156181721,40.453450929905365,"Avda. Presidente Carmona, 4",Parking mixto
-3.673375517528929,40.424302114041424,"Calle Antonio Mercé, 5",Parking mixto
-3.737820685204352,40.41123308805248,"Avda. de Portugal, 155",Parking mixto
-3.666735993357979,40.44551180533134,"Calle Corazón de Maria  (final calle)",Parking mixto
-3.784162038474802,40.4588378734227,"Pza. Corona Boreal c/v Pérez de Vitoria",Parking mixto
-3.6696439807931824,40.40581918799912,"Calle Carlos y Guillermo Fernandez Shaw",Parking mixto
-3.7028564157284647,40.42981134124437,"Calle Fuencarral, 111 (entre Nº 111 y 121)",Parking mixto
-3.6779954642634913,40.43476162485769,"Calle Diego de León, 51",Parking mixto
-3.6935391137010622,40.45697570647414,"Avda. Brasil, 15-19",Parking mixto
-3.695758321569975,40.44801644304837,"Calle Hernani (entre Calle  Orense y Comandante Zorita)",Parking mixto
-3.692139380427478,40.46423632402918,"Calle Jose Castan Tobeñas",Parking mixto
-3.62251867151304,40.434298892721245,"Calle Miguel Yuste, 64",Parking mixto
-3.696292372862118,40.45976995626962,"Calle Sor Angela de la Cruz, 27",Parking mixto
-3.6938546536962455,40.40966744857982,"Calle Sanchez Bustillo",Parking mixto
-3.683698075366441,40.42856586625456,"Calle Velazquez, 79 c/v Calle  Ayala",Parking mixto
-3.684152211649711,40.4233559578089,"Calle Velazquez, 18 c/v Calle  Jorge Juán",Parking mixto
-3.656656196311402,40.43969562394776,"Calle Verdaguer y Garcia, 1",Parking mixto
-3.703975707903756,40.407128777770254,"Calle Casino",Parking mixto
-3.699852563468415,40.42663136034563,"Calle Barcelo, 2",Parking mixto
-3.6920673733553446,40.420425955571424,"Paseo Recoletos, 2-4  (frente Calle  Marques del Duero, 2)",Parking mixto
-3.7021726409060034,40.44907675553648,"Pza. Condesa de Gavia c/v Calle  Zarzalejo",Parking mixto
-3.703437574551149,40.41430325828421,"Pza. Jacinto Benavente",Parking mixto
-3.679200817923724,40.43034913592925,"Pza. Marqués de Salamanca",Parking mixto
-3.711836133969905,40.41716177548724,"Pza. Oriente, 1 (Pza. Ramales, Calle Lepanto, Pza. de Requena, Calle  Vergara)",Parking mixto
-3.676444396280788,40.458806735203794,"Pza. República Dominicana (Calle  Costa Rica , Alberto Alcocer y Príncipe Vergara)",Parking mixto
-3.670669126389493,40.43429084535787,"Pza. San Cayetano c/v Calle  Eraso",Parking mixto
-3.699212919580328,40.42064422355092,"Pza. Pedro Zerolo, 1",Parking mixto
-3.685687798209095,40.43295048708367,"Calle Juan Bravo, 3",Parking mixto
-3.688068161748069,40.43052192558713,"Calle José Ortega y Gasset, 1",Parking mixto
-3.6515191132119744,40.40587769340484,"Pza. Encuentro",Parking mixto
-3.577675146103511,40.4597749743146,"Avda. Hispanidad",Parking público
-3.692982731420465,40.43036644451108,"Calle Almagro, 13",Parking público
-3.705611766893764,40.421596341218766,"Pza. Santa Maria Soledad Torres Acosta c/v Calle Luna",Parking público
-3.718843488622639,40.42989322029397,"Calle Marques de Urquijo, 22 (entre La Calle Princesa y Juan Alvarez Mendizabal)",Parking público
-3.6901556032386575,40.417905842559215,"Calle Montalban  (entre Calle  Alfonso XI y Pº del Prado)",Parking mixto
-3.6776995866555855,40.44756516697803,"Calle Principe de Vergara / Cartagena 178",Parking público
-3.698434334988604,40.4183065792852,"Calle Sevilla c/v Calle  Alcalá,29",Parking mixto
-3.683655240032314,40.43248504651154,"Calle Velazquez c/v Calle  Juan Bravo",Parking público
-3.616132393713386,40.461846651381954,"Avda. Capital de España Madrid, s/n",Parking público
-3.688481619914151,40.40632117014686,"Pza. Emperador Carlos V c/v Avda. Ciudad de Barcelona, 2",Parking mixto
-3.6804018731949855,40.47229696960424,"Calle Hiedra, 86",Parking mixto
-3.7101195134434666,40.407478596895146,"Glorieta Puerta de Toledo c/v Calle Capitán Salazar Martinez,9",Parking público
-3.639506283416488,40.38679142734565,"Avda. Albufera",Parking mixto
-3.687622891258581,40.42037139346374,"Calle Alcalá, 73",Parking mixto
-3.706945869566785,40.416164750196806,"Pza. Mayor c/v Calle  Felipe III",Parking público
-3.689763005654038,40.42447577560445,"Pza. Colón (Jardines Descubrimiento)",Parking público
-3.696450280262598,40.4156518708165,"Pza. Las Cortes",Parking público
-3.708864456949336,40.42264851849255,"Pza. de Los Mostenses c/v Calle  Ricardo León",Parking público
-3.701288835173765,40.43325329776787,"Pza. Olavide c/v Calle  Trafalgar, 33",Parking público
-3.700705421171583,40.414527056934666,"Pza. Santa Ana",Parking público
-3.693713293962537,40.425740431556925,"Pza. Villa de París (Marqués de la Ensenada 16)",Parking público
-3.707005556723592,40.41848871769445,"Pza. Descalzas y Pza. de San Martín",Parking público
-3.6956839018479872,40.42020605156636,"Pza. Rey c/v Calle  Barquillo",Parking público
-3.5998903743823054,40.4339410476715,"Avda. Arcentales, 37",Parking público
-3.6776903245679473,40.44429495228076,"Calle Cartagena, 176",Parking público
-3.6768690548826455,40.438831293412,"Calle Prádena del Rincón, 4",Parking mixto
-3.6763087912761607,40.40879843310269,"Plaza Reyes Magos, 14",Parking mixto
-3.783535210023045,40.38350878744461,"Calle Fuente de Lima, 6",Parking disuasorio Aviación Española
-3.724542740079369,40.49622668508429,"Calle Gloria Fuertes, 191",Parking disuasorio Pitis
-3.664065827675993,40.48450903196615,"Calle Dulce Chacón",Parking disuasorio Fuente de la Mora
