cmun,cdis,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados
001,01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002,01,1,8,13,2,11,2,2,3,34,22,22,4,2,3,1,6,4,3,1,25,1,14,3,14,3,3,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,01,1,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004,01,1,10,2,2,3,2,0,4,3,10,16,6,12,0,0,0,0,0,1,1,0,2,2,0,4,5,4,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,01,1,42,36,14,56,5,4,8,10,100,38,56,131,0,9,1,0,0,1,3,3,1,23,3,46,34,22,1,11,21,9,0,5,1,7,12,2,3,1,1,1,0,0,0,0,0,0
005,02,0,28,26,4,13,2,7,21,28,84,58,31,33,5,5,5,2,3,1,11,4,8,6,4,16,12,10,1,36,6,6,0,0,0,0,0,0,2,2,0,0,1,3,2,0,0,0
005,03,0,12,58,5,28,0,12,14,90,80,87,32,50,14,17,10,1,4,1,28,4,18,4,19,14,11,16,5,58,6,7,3,0,0,0,0,0,1,1,1,0,1,2,0,2,0,0
005,04,0,35,13,2,16,6,1,10,6,34,34,36,48,3,7,2,0,1,0,2,2,3,9,2,13,14,4,0,15,5,10,0,0,0,2,5,3,0,0,1,0,0,0,0,1,1,0
005,05,0,33,23,7,33,2,4,15,23,159,38,39,57,3,3,0,1,1,0,6,1,2,8,2,18,15,20,1,15,7,11,0,0,0,0,0,0,1,7,1,0,0,0,0,4,0,0
006,01,2,104,205,109,296,12,27,29,399,369,168,122,259,17,189,7,9,19,1,8,14,33,56,18,158,92,69,6,78,79,58,5,4,1,1,3,0,2,4,3,0,8,1,2,6,1,3
007,01,1,38,58,4,54,4,9,7,70,256,69,31,98,3,28,3,1,4,0,8,5,9,17,6,23,30,25,4,18,11,15,0,0,0,2,6,1,1,9,1,0,0,0,1,4,0,0
007,02,0,47,42,12,34,4,3,18,19,87,64,43,55,0,8,0,1,0,1,3,0,1,17,4,26,24,9,2,26,8,13,3,3,1,0,0,0,2,1,1,0,1,0,1,1,1,0
007,03,0,9,26,3,21,0,9,9,26,72,57,13,30,1,11,0,0,4,0,6,0,8,7,15,7,12,8,3,19,5,4,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
007,04,0,27,32,3,18,3,7,23,54,104,79,47,64,2,2,1,0,2,1,12,1,10,10,6,19,18,17,6,18,6,13,5,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0
008,01,1,6,0,0,1,2,0,3,1,4,5,3,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
009,01,1,16,20,6,18,2,5,13,45,43,41,23,25,4,6,7,2,11,1,5,1,14,6,6,9,11,12,1,20,5,3,3,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1
010,01,1,13,13,4,17,2,1,7,11,19,25,22,24,0,1,1,0,1,1,2,1,1,3,0,5,6,8,1,7,4,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
011,01,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012,01,1,1,1,0,0,2,0,2,1,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,01,0,14,5,0,8,3,1,7,3,32,5,17,28,0,1,0,0,0,0,0,0,0,6,0,6,5,3,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0
013,02,0,6,9,1,2,1,1,2,2,15,21,7,12,0,1,0,0,0,0,3,0,1,2,1,0,6,2,1,4,5,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
013,03,0,20,14,0,11,0,1,6,5,46,20,14,35,2,1,1,0,0,1,5,2,2,4,0,10,5,8,0,12,3,3,0,0,0,1,3,0,0,2,1,0,2,1,0,1,0,0
013,04,1,3,9,2,6,6,1,4,3,49,8,10,46,0,0,1,1,1,0,2,0,4,4,0,7,1,2,2,8,1,2,0,4,1,0,1,0,0,1,0,1,2,1,0,0,0,0
014,01,1,41,62,8,42,6,26,21,152,162,164,52,85,17,5,23,8,14,2,92,17,104,15,32,23,30,19,8,65,14,12,10,4,1,0,0,0,0,0,0,1,4,3,1,1,1,0
015,01,1,12,33,0,11,2,1,11,19,89,87,30,45,0,10,5,0,1,0,6,2,5,7,1,7,18,12,1,37,8,12,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0
016,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017,01,1,2,3,0,1,2,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018,01,1,6,2,0,1,2,2,2,0,10,12,2,17,0,1,0,0,0,1,0,0,0,2,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
019,01,1,2,1,0,0,2,1,4,0,1,2,4,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,01,1,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021,01,1,3,0,0,0,3,0,1,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022,01,1,53,52,32,62,4,2,13,42,79,71,61,98,0,35,0,0,1,0,6,5,5,15,1,28,33,37,5,23,14,30,0,0,0,0,1,0,2,0,0,0,2,0,0,3,0,0
023,01,1,6,4,1,4,2,1,4,3,6,19,12,19,0,2,0,0,0,4,0,0,1,0,0,1,0,4,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024,01,1,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025,01,1,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026,01,1,7,4,3,10,2,1,6,4,19,11,15,11,0,1,0,0,0,1,0,0,2,4,0,7,2,7,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,01,1,6,0,0,3,3,0,4,0,7,3,6,11,0,0,0,0,0,1,0,0,0,2,0,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
028,01,1,2,2,2,1,2,1,2,3,3,1,2,7,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
029,01,1,0,0,2,1,2,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
030,01,1,8,0,0,2,2,1,5,1,6,2,8,9,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
031,01,1,11,2,1,1,3,1,3,0,5,7,4,5,0,0,0,0,0,2,0,1,0,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
032,01,1,4,10,1,3,1,0,3,7,9,17,5,2,3,0,0,0,0,1,8,1,7,2,1,3,4,4,2,15,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
033,01,1,5,3,0,3,3,7,4,10,14,13,6,4,1,0,3,0,0,0,7,3,5,4,1,4,0,1,0,11,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
034,01,1,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
035,01,1,2,0,1,0,2,0,3,0,0,6,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036,01,1,5,7,0,0,1,0,5,2,7,17,6,3,0,0,0,1,0,1,0,0,2,0,4,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
037,01,1,4,0,0,0,2,0,2,0,1,4,2,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
038,01,1,7,3,1,5,2,0,4,0,12,13,5,29,0,0,0,0,0,1,1,0,0,2,1,4,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
039,01,1,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040,01,1,6,4,0,6,2,2,1,1,19,5,8,13,0,1,0,0,0,0,2,0,2,8,0,6,2,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
040,02,0,10,6,2,2,0,4,7,5,14,24,10,8,0,0,3,0,0,1,4,0,1,0,0,2,2,2,0,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040,03,0,1,1,0,3,0,1,1,11,12,9,1,3,0,1,2,0,0,0,7,0,7,0,1,0,1,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
041,01,1,9,4,1,6,2,0,3,6,7,4,8,4,0,2,1,0,0,1,1,2,1,3,1,4,1,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
042,01,1,2,1,1,0,2,0,2,0,1,2,2,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
043,01,1,3,1,0,2,2,4,2,2,13,13,2,10,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
043,02,0,1,1,0,1,0,2,2,1,5,14,2,6,0,0,0,0,0,0,4,2,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
044,01,1,4,6,0,4,2,0,5,2,10,14,12,7,1,0,0,0,0,1,0,1,0,2,0,2,4,1,0,5,0,2,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
045,01,1,47,25,8,41,7,12,20,48,118,79,57,70,6,10,0,0,3,2,10,4,14,15,1,19,21,25,6,20,9,14,1,3,1,0,0,0,1,2,1,1,5,2,2,3,1,0
046,01,1,5,5,3,1,1,0,5,1,4,12,7,7,0,2,0,0,1,1,0,0,2,2,0,4,1,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
047,01,1,53,43,10,46,6,6,23,42,189,67,74,101,2,8,0,2,1,1,9,4,3,14,1,32,28,28,0,31,10,17,1,4,0,0,5,0,1,2,1,0,3,3,2,4,1,0
048,01,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
049,01,1,29,22,0,23,5,1,11,10,70,50,36,47,0,3,0,1,1,1,2,1,6,14,1,24,19,8,1,21,12,7,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0
049,02,0,21,14,4,9,0,0,14,4,37,26,21,19,0,1,0,0,0,0,1,1,0,5,0,10,5,6,0,15,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
049,03,0,8,20,0,11,0,1,5,20,46,35,15,26,1,3,1,0,2,0,3,1,0,6,5,12,15,4,0,10,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
049,04,0,5,44,0,35,0,4,2,119,70,65,5,18,4,10,7,1,8,1,10,1,13,1,12,6,5,10,4,201,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050,01,1,8,1,2,1,2,0,4,4,3,12,6,2,0,1,1,0,0,1,3,0,6,1,0,1,3,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
051,01,1,2,2,0,0,2,0,3,1,0,3,6,2,0,0,1,0,0,1,3,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
052,01,1,2,0,1,5,3,2,4,5,11,7,4,22,0,0,0,0,0,1,0,0,0,2,0,3,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
053,01,1,9,12,1,6,2,4,5,16,14,18,12,14,0,1,3,5,3,1,18,1,8,3,3,5,4,4,1,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
054,01,1,9,3,2,1,2,2,1,1,11,6,5,13,0,0,0,0,0,2,0,0,0,3,0,4,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
054,02,0,12,4,1,3,1,0,4,0,8,7,9,6,0,3,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
055,01,1,2,5,0,0,4,0,3,0,1,3,2,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
056,01,1,1,0,1,0,2,1,3,0,0,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057,01,1,2,0,0,2,2,0,3,0,2,6,3,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
058,01,0,4,6,0,3,0,0,1,1,10,8,2,2,0,0,0,0,0,0,0,0,2,1,0,4,2,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
058,02,0,25,34,3,27,0,6,12,56,91,54,19,38,3,8,6,4,3,0,54,4,27,6,16,13,15,6,2,27,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
058,03,0,16,10,2,16,2,0,4,1,30,24,13,18,0,0,0,0,0,0,0,0,4,6,0,12,6,7,1,4,2,4,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
058,04,0,13,42,2,31,1,11,10,395,139,71,25,61,8,5,13,7,1,1,81,5,47,7,27,11,13,10,9,29,5,6,5,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0
058,05,0,9,7,0,6,0,1,3,1,17,11,7,8,0,0,0,0,0,0,0,0,1,5,0,8,4,6,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
058,06,0,17,19,0,13,1,3,11,21,58,59,24,28,0,2,2,0,1,1,10,1,13,4,4,10,10,7,4,17,3,5,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0
058,07,0,14,15,0,10,2,9,10,8,46,33,23,28,1,2,0,0,1,0,7,0,3,4,1,8,8,7,1,19,6,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
058,08,1,14,9,2,12,7,1,11,5,60,19,22,29,0,0,0,0,0,0,1,0,2,9,0,16,13,9,0,3,3,5,2,4,0,1,5,0,0,0,1,0,0,0,2,2,0,0
058,09,0,8,7,2,2,0,0,13,1,60,14,23,18,0,3,0,0,0,1,2,0,1,1,0,7,10,5,0,8,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
059,01,1,10,5,0,5,2,1,2,10,14,12,2,7,1,2,1,1,1,1,4,0,3,3,1,4,4,3,0,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060,01,1,3,0,0,0,0,0,3,1,2,1,3,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
061,01,1,22,17,6,14,2,2,11,8,35,27,29,35,0,5,0,0,0,1,3,0,2,4,0,3,8,6,0,11,7,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
062,01,1,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
063,01,1,1,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
064,01,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
065,01,1,56,40,3,36,3,1,9,13,87,37,35,49,0,5,0,1,0,0,2,1,3,17,0,34,27,9,0,9,15,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
065,02,0,36,23,5,26,2,2,10,6,66,35,30,40,0,5,1,0,0,1,0,0,1,21,2,30,13,11,0,15,5,2,0,0,0,1,8,2,1,0,1,0,1,2,0,1,1,0
065,03,0,34,26,5,21,3,1,26,8,95,83,68,55,0,8,1,0,0,0,1,1,2,11,1,27,23,19,0,35,9,18,0,4,1,0,0,0,2,2,2,0,1,0,0,3,1,0
065,04,0,30,82,4,86,3,19,18,229,214,144,49,94,6,26,13,11,14,0,33,4,43,8,31,32,38,14,6,146,13,5,6,0,0,0,0,0,3,5,1,0,0,1,1,3,0,0
066,01,1,10,11,2,6,1,6,5,22,26,44,14,21,2,3,4,0,1,0,26,2,12,7,8,6,7,7,0,12,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
067,01,1,5,5,1,4,2,0,5,0,7,10,7,8,0,1,0,0,0,1,0,0,0,2,0,1,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
068,01,1,23,6,7,7,3,4,7,11,35,29,16,36,0,0,0,0,0,1,4,0,1,3,0,6,3,3,0,4,3,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
069,01,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
070,01,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
071,01,1,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
072,01,1,0,5,1,3,2,1,4,1,9,6,5,8,0,2,0,0,0,1,0,0,0,3,0,5,2,1,0,1,1,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0
073,01,1,6,27,2,18,2,21,12,115,93,124,23,34,8,6,12,3,8,1,116,5,75,3,36,3,11,8,3,36,12,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
074,01,1,39,20,4,30,3,3,16,52,96,56,29,47,0,6,0,0,0,0,5,2,7,10,3,15,20,10,3,28,6,5,4,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0
074,02,0,20,14,4,21,2,0,8,5,61,39,24,38,1,1,0,0,0,1,0,1,1,12,0,18,17,7,0,7,9,5,0,4,1,1,2,0,2,0,0,0,1,1,1,1,0,0
074,03,0,10,35,1,14,2,9,14,58,80,66,27,31,2,8,2,0,3,1,7,2,10,3,11,5,12,13,4,16,2,3,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,0
074,04,0,14,11,2,9,0,1,10,1,54,36,23,21,0,2,0,0,0,0,0,1,2,8,0,19,12,9,0,11,5,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
074,05,0,32,37,1,68,3,14,23,102,156,72,47,83,5,31,5,3,9,0,19,4,18,13,3,21,27,25,6,39,11,8,4,0,0,0,0,0,1,6,1,0,0,1,0,1,1,0
074,06,0,4,6,0,2,0,2,6,2,21,15,9,11,0,0,2,0,0,1,0,0,1,3,1,7,3,3,3,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
074,07,0,12,6,0,6,0,0,4,7,9,18,13,7,0,2,0,0,0,0,0,0,0,1,0,6,5,10,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
075,01,1,3,8,0,4,2,3,7,23,18,31,8,12,2,0,4,3,2,1,14,1,15,3,6,3,3,3,1,15,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
076,01,1,0,0,1,0,2,0,2,0,0,2,2,6,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
078,01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
079,01,22,223,351,235,643,87,29,31,221,1132,173,252,2006,5,387,1,2,4,2,3,16,18,70,13,228,197,274,30,80,181,37,1,15,0,4,24,4,1,5,0,8,6,0,5,5,0,12
079,02,1,160,178,97,247,19,9,20,131,358,129,175,369,8,160,0,3,6,0,1,8,20,56,6,113,92,91,3,88,59,42,2,0,0,2,2,0,1,2,1,2,2,0,1,1,2,0
079,03,4,173,233,128,405,20,8,17,98,313,141,133,317,4,149,3,0,3,0,7,8,12,49,7,145,109,48,4,73,76,40,0,0,1,2,3,0,2,0,0,2,4,1,3,0,1,9
079,04,4,399,561,369,1372,59,28,7,351,1125,313,228,783,10,468,2,3,6,0,7,23,19,139,16,490,261,173,37,147,299,47,6,6,1,2,5,5,1,7,0,4,21,0,4,4,0,56
079,05,5,294,364,361,941,69,22,16,249,518,238,260,541,14,381,5,4,11,0,12,27,22,95,11,314,164,122,12,126,155,97,5,1,3,4,10,7,3,1,1,3,15,1,7,3,2,60
079,06,2,213,403,138,837,34,14,19,261,580,275,179,483,9,415,5,2,10,1,8,26,30,75,20,271,141,96,8,140,123,30,3,8,5,0,0,2,2,4,0,4,6,2,2,2,1,11
